"Id,""fecha_auto"",""id";"_viaje"",""id_resumen_evento"",""id_evento"",""id_";"gps_"",""fecha_gps_"",""latitud_"",""longitud_"",""ubicacion_"",""evento_"",""direccion_"",""velocidad_"""
"7157985,""2025-01-01";"00:02:25"",3747,35051,2,15389939,""2025-01-01";"00:01:47"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157986,""2025-01-01";"00:02:25"",3747,35051,2,15389979,""2025-01-01";"00:02:30"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157987,""2025-01-01";"00:02:25"",3732,35039,2,15389941,""2025-01-01";"00:01:25"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157988,""2025-01-01";"00:02:25"",3732,35039,2,15389981,""2025-01-01";"00:02:31"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157989,""2025-01-01";"00:02:25"",3750,35096,2,15389946,""2025-01-01";"00:01:47"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157990,""2025-01-01";"00:02:25"",3750,35096,2,15389986,""2025-01-01";"00:02:30"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157991,""2025-01-01";"00:02:25"",3731,35029,2,15389947,""2025-01-01";"00:01:17"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157992,""2025-01-01";"00:02:25"",3731,35029,2,15389987,""2025-01-01";"00:02:25"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157993,""2025-01-01";"00:02:58"",3748,35066,2,15389963,""2025-01-01";"00:02:29"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157994,""2025-01-01";"00:02:58"",3748,35066,2,15390010,""2025-01-01";"00:03:12"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157995,""2025-01-01";"00:02:59"",3749,35081,2,15389973,""2025-01-01";"00:02:29"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157996,""2025-01-01";"00:02:59"",3749,35081,2,15390020,""2025-01-01";"00:03:12"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157997,""2025-01-01";"00:02:59"",3747,35051,2,15389979,""2025-01-01";"00:02:30"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157998,""2025-01-01";"00:02:59"",3747,35051,2,15390026,""2025-01-01";"00:03:13"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157999,""2025-01-01";"00:02:59"",3750,35096,2,15389986,""2025-01-01";"00:02:30"",-36.754701,-73.079665,"""",Apagado,-280,0"
