Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
27 mar 2024,CI,Concepción,Av. Jorge Alessandri,null,2714.9220779220777,426.4805194805195,27069
22 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,3497.715909090909,1471.375,26938
4 may 2024,CI,San Pedro de la Paz,Ruta 160,null,4657.780219780219,792.967032967033,26754
6 oct 2023,CI,Concepción,Av. Ignacio Collao,null,861.3861386138614,691.5792079207921,26603
11 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2223.2151162790697,886.0058139534884,26559
23 mar 2024,CI,Concepción,Av. Padre Hurtado,null,1219.0181818181818,663.7181818181818,26532
23 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,1870.9140625,376.8515625,26508
12 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2314.8924050632913,833.4177215189874,26105
30 abr 2024,CI,Concepción,Av. Paicaví,null,1920.2439024390244,1193.5691056910568,26079
5 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,3279.14606741573,1107.4943820224719,25744
28 ago 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1975.1057268722468,999.6607929515418,25697
14 sept 2023,CI,Concepción,Av. Jorge Alessandri,null,2759.181818181818,299,25655
24 nov 2023,CI,Hualpén,Av. Cristóbal Colón,null,1597.3333333333333,946.031746031746,25522
14 may 2024,CI,San Pedro de la Paz,Ruta 160,null,2805.4423076923076,1007.3557692307693,25516
12 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3560.6506024096384,2524.843373493976,25441
16 ago 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2136.8241758241757,817.6153846153846,24964
23 mar 2024,CI,Concepción,Av. Los Carrera,null,1128.2191780821918,528.7328767123288,24867
29 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2495.4,872.65,24805
28 mar 2024,CI,Concepción,Av. Los Carrera,null,968.7906976744187,576.4612403100775,24765
3 may 2024,CI,Concepción,Av. Paicaví,null,2275.92,1252.72,24762
29 nov 2023,CI,Concepción,Av. Jorge Alessandri,null,2513.735632183908,413.58620689655174,24466
24 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,4138.268292682927,1699.4878048780488,24253
7 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,2972.054347826087,1068.7608695652175,24243
29 feb 2024,CI,Concepción,Av. Los Carrera,null,948.8872727272727,566.1345454545454,24231
7 jul 2023,CI,Hualpén,Av. Jorge Alessandri,null,1974,564.4,24225
16 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2381.134020618557,847.1237113402062,24206
30 abr 2024,CI,Concepción,Av. Jorge Alessandri,null,2148.4303797468356,935.3924050632911,24109
20 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,1802.7769230769231,514.9,24030
25 mar 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1032.3815789473683,356.2236842105263,23825
4 mar 2024,CI,Concepción,Av. Paicaví,null,2645.3571428571427,1204.642857142857,23809
19 ene 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1038.1167883211679,333.036496350365,23778
19 mar 2024,CI,Concepción,Av. Los Carrera,null,1379.2587412587413,640.7552447552448,23756
12 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,3414.715909090909,1068.4318181818182,23734
7 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,3090.490740740741,1361.3240740740741,23671
19 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,2446.3473684210526,1342.7368421052631,23665
29 nov 2023,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1275.6324786324785,300.982905982906,23631
23 feb 2024,CI,San Pedro de la Paz,Ruta 160,null,2091.153846153846,416.96581196581195,23524
12 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2186.2831325301204,1090.3975903614457,23446
24 nov 2023,CI,Concepción,Av. Jorge Alessandri,null,2758.7166666666667,413.1166666666667,23229
7 nov 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2220.78,765.98,23151
5 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3349.7638888888887,2093.3055555555557,23086
25 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3150.2337662337663,1688.090909090909,23077
1 abr 2024,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1456,450.23809523809524,23059
30 sept 2023,CI,Concepción,Av. Jorge Alessandri,null,2645.7283950617284,260.0246913580247,23005
22 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1921.72,768.696,22997
26 oct 2023,CI,Concepción,Av. Paicaví,null,2030.65,1093.62,22976
17 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,2931.0227272727275,1298.0568181818182,22921
18 abr 2024,CI,Concepción,Av. Jorge Alessandri,null,2993.204081632653,444.2040816326531,22889
10 nov 2023,CI,Concepción,Av. Jorge Alessandri,null,2776.070588235294,491.43529411764706,22863
27 mar 2024,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1422.3333333333333,449.20238095238096,22820
20 sept 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2074.7577639751553,1141.863354037267,22789
31 oct 2023,CI,Concepción,Av. Los Carrera,null,1217.4093023255814,592.1534883720931,22657
4 may 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2368.181818181818,909.6464646464647,22651
29 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,3202.8076923076924,1564.3076923076924,22450
8 may 2024,CI,San Pedro de la Paz,Ruta 160,null,3278.7804878048782,1232.4146341463415,22353
13 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,2930.009900990099,1246.4455445544554,22353
13 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2293.6573426573427,740.1608391608391,22259
28 mar 2024,CI,Concepción,Av. San Juan Bosco,null,787.2011834319527,495.88757396449705,22243
22 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,3020.5510204081634,1592.530612244898,22088
24 feb 2024,CI,San Pedro de la Paz,Ruta 160,HAZARD,2025.4204545454545,1002.0227272727273,21931
17 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,2649.1529411764704,1122.4705882352941,21785
30 sept 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2224.048076923077,877.4038461538462,21544
1 feb 2024,CI,Chiguayante,Av. Manuel Rodríguez,null,4443.629032258064,2226.483870967742,21465
23 mar 2024,CI,Chiguayante,Av. Enrique van Rysselberghe,null,1367.3011363636363,881.3068181818181,21456
5 abr 2024,CI,Concepción,Av. San Juan Bosco,null,772.536231884058,451.231884057971,21377
27 mar 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1036.0552147239264,391.16564417177915,21368
4 nov 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2023.3951612903227,844.4274193548387,21334
25 jun 2023,CI,Los Ángeles,Ruta 5 Sur,null,1315.0420560747664,891.2570093457944,21300
